file,category,duration_sec,sample_rate_hz,channels,bit_depth,rms_mean,zcr_mean,max_amp,is_clipped,is_silent,snr_db,num_estimated_frames,file_hash,load_success
-74dab6wYqU_30.wav,Alarm_Clock,2.0,16000,1,float,0.0018923358,0.1499565972222222,0.022644043,False,True,8.056731509406273,3,21fe26bf658cf8158c54f31eac9f20ca,True
-C_fTH8QukQ_24.wav,Alarm_Clock,2.0,16000,1,float,0.1856383,0.38394407242063494,0.57644653,False,False,2.8110199878115116,3,fcc4354d53f0d6b9f796ac586b5fcd75,True
-eQkuW-SGkA_30.wav,Alarm_Clock,2.0,16000,1,float,0.008728134,0.1792999751984127,0.042510986,False,True,5.2638720959935,3,ac41cd1ab032d4cce10ba60c7c21b9a8,True
-kJT_nUHinA_50.wav,Alarm_Clock,2.0,16000,1,float,0.045433685,0.15350632440476192,0.19137573,False,False,17.334636022032768,3,15f4aeb5721c556f2d537b3cb3bab620,True
-OSpN9z9WOg_20.wav,Alarm_Clock,2.0,16000,1,float,0.19998734,0.2517671130952381,0.5042114,False,False,6.664424909124962,3,0a1a78c6ed77d44435bf0db7883d28bb,True
-Ub-7jNnSx8_0.wav,Alarm_Clock,2.0,16000,1,float,0.023282738,0.6065538194444444,0.11807251,False,False,22.81668120973592,3,94ebbfa263abf10ec2861d66f87312dc,True
0j1-0Y6lGck_120.wav,Alarm_Clock,2.0,16000,1,float,0.04056259,0.6586526537698413,0.17755127,False,False,3.066120827415213,3,c26833b7bc799cd5b1c667e51e9e6e69,True
0NH_iIqzQ-4_0.wav,Alarm_Clock,2.0,16000,1,float,0.024135765,0.24928695436507936,0.08117676,False,False,15.049830264416036,3,67ce052edd91ccc4af79414430d1a668,True
1SugbVzzM_w_120.wav,Alarm_Clock,2.0,16000,1,float,0.092834026,0.32685391865079366,0.88687134,False,False,9.717159494883186,3,b4f5a5f0fc25a39c8baf7c9a85bf6878,True
1zg1irhT4wI_30.wav,Alarm_Clock,2.0,16000,1,float,0.11558181,0.3677765376984127,0.50756836,False,False,15.12113753459915,3,78f180ef222b24f6c91abf5ffd83d8f9,True
2-EH4VISumI_90.wav,Alarm_Clock,2.0,16000,1,float,0.096849374,0.15249100942460317,0.69052124,False,False,31.242642720556493,3,32057ab221c49ceb6b7e1a53e775312e,True
2GQHZpe5yjA_50.wav,Alarm_Clock,2.0,16000,1,float,0.09169045,0.3780304439484127,0.3876648,False,False,4.71498326209037,3,55aa7cc39351f453d2c8e074d1e7cf47,True
2J_HRnrlj8g_40.wav,Alarm_Clock,2.0,16000,1,float,0.037673794,0.10662357390873016,0.13946533,False,False,26.921604046639086,3,14f3bfa0d20800dd310ea5ebd1122969,True
3Ue0IFclKKY_90.wav,Alarm_Clock,2.0,16000,1,float,0.103896976,0.1323784722222222,0.6022644,False,False,22.19904299455998,3,b2b0ca3f8c555b3217d89e22bcda5e44,True
3Ypj0P5atjU_50.wav,Alarm_Clock,2.0,16000,1,float,0.018776754,0.29552641369047616,0.18292236,False,False,85.4724102914674,3,61c10daf159d2c9173420f7c2740d3c8,True
41Cv3O7x1cg_550.wav,Alarm_Clock,2.0,16000,1,float,0.039219663,0.1382843501984127,0.40408325,False,False,14.028126387211149,3,846ce7db39adda20cb70db0e0b52b3e7,True
4f57mhJZPjk_40.wav,Alarm_Clock,2.0,16000,1,float,0.07145261,0.24696180555555555,0.6852417,False,False,25.928006504278976,3,3cde47464006b0407d979433d7efe516,True
57wLY6lcZus_80.wav,Alarm_Clock,2.0,16000,1,float,0.022764986,0.3957635788690476,0.1109314,False,False,8.877165182957437,3,e9fa6db8385a89371d792d21dbaae889,True
5CYK7AKivDo_180.wav,Alarm_Clock,2.0,16000,1,float,0.006696648,0.30031622023809523,0.037597656,False,True,9.341662375490738,3,dcbbb75254bbfc630db6d74bb77a7a0c,True
5GenSrBc00o_40.wav,Alarm_Clock,2.0,16000,1,float,0.0610817,0.2831023685515873,0.3293457,False,False,44.78751064624569,3,b50b77fc15b31566db7774dcefa15bf4,True
61X1X_LmORw_90.wav,Alarm_Clock,2.0,16000,1,float,0.04687825,0.41748821924603174,0.26895142,False,False,19.764421299541514,3,5b90b73e099d6ef0879bf3796e71fe02,True
6BYS8Xf5qrY_60.wav,Alarm_Clock,2.0,16000,1,float,0.010113782,0.39061724950396826,0.16265869,False,False,27.982355844681734,3,708c27bbbff1effb3b9eb1b1b63f8acc,True
6DdBy_eFc6o_20.wav,Alarm_Clock,2.0,16000,1,float,0.08944721,0.4254712301587302,0.40124512,False,False,4.292912155767803,3,cc91b2d5fc5bdb72696b136b43193518,True
